,UF,Ano,cntrs
0,11,2012,1
1,11,2013,1
2,12,2012,1
3,12,2013,1
4,13,2012,1
5,13,2013,1
6,14,2012,1
7,14,2013,1
8,15,2012,4
9,15,2013,4
10,16,2012,1
11,16,2013,1
12,17,2012,1
13,17,2013,1
14,21,2012,2
15,21,2013,2
16,22,2012,1
17,22,2013,1
18,23,2012,4
19,23,2013,4
20,24,2012,3
21,24,2013,3
22,25,2012,2
23,25,2013,2
24,26,2012,6
25,26,2013,6
26,27,2012,2
27,27,2013,2
28,28,2012,1
29,28,2013,1
30,29,2012,6
31,29,2013,6
32,31,2012,13
33,31,2013,13
34,32,2012,4
35,32,2013,5
36,33,2012,13
37,33,2013,14
38,35,2012,39
39,35,2013,40
40,41,2012,8
41,41,2013,8
42,42,2012,4
43,42,2013,5
44,43,2012,9
45,43,2013,11
46,50,2012,2
47,50,2013,2
48,51,2012,3
49,51,2013,3
50,52,2012,3
51,52,2013,3
52,53,2012,1
53,53,2013,1
