Renda per capita, exceto renda nula  (Atlas DH - PNADC/A)
Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;524,74;526,36;520,61;535,72;490,67;477,78;543,04;520,07;521,27;481,7;
AL;27;Alagoas;401,47;405,67;449,14;424,25;427,71;411,9;432,73;429,22;455,51;412,97;
AM;13;Amazonas;567,63;567,27;563,76;533,72;471,09;532,53;475,65;486,07;488,06;439,68;
AP;16;Amapá;531,43;596,09;580,4;593,67;566,76;568,87;513;504,83;500,44;464,79;
BA;29;Bahia;508,8;513,16;542,78;524,51;495,06;544,32;505,86;534,55;560,61;465,19;
CE;23;Ceará;454,7;477,4;477,73;483,54;478,29;508,39;510,42;544,78;575,22;487,32;
DF;53;Distrito Federal;1562,74;1591,91;1552,82;1571,82;1468,94;1523,02;1478,18;1507,22;1400,45;1350,33;
ES;32;Espírito Santo;757,32;780,96;815,76;767,3;750,33;752,19;783,52;840,07;777,56;700,74;
GO;52;Goiás;754,17;803,36;798,7;761,8;732,41;784,47;784,09;760,34;725,14;692,12;
MA;21;Maranhão;342,84;356,62;360,01;365,85;371,34;377,31;370,49;373,5;390,76;352,34;
MG;31;Minas Gerais;740,45;770,6;799,2;786,93;735,36;765,68;775,6;777,92;753,08;706,64;
MS;50;Mato Grosso do Sul;751,28;778,2;812,67;738,86;809,51;797,61;856,98;868,61;827,81;777,12;
MT;51;Mato Grosso;765,05;793,83;799,53;753,18;735,65;774,42;827,86;796,41;787,88;716,25;
PA;15;Pará;482,15;488,13;490,26;477,69;447,97;451,92;514,08;463,66;505,88;450,28;
PB;25;Paraíba;456,93;474,23;524,39;546,68;496,69;560,37;528,68;528,33;504,43;477,29;
PE;26;Pernambuco;532,09;577,74;622,53;586,2;549,47;526,98;519;560,84;523,18;460,91;
PI;22;Piauí;416,6;504,76;503,72;512,78;472,43;467,53;483,43;481,42;486,18;454,7;
PR;41;Paraná;893,81;918,37;938,56;880,72;892,25;908,77;946,78;936,35;872,46;832,71;
RJ;33;Rio de Janeiro;894,01;900,24;942,28;908,81;924,7;907,85;1006,03;1062,63;991,17;936,23;
RN;24;Rio Grande do Norte;481,36;519,35;539,18;577;577,86;531,45;573,73;601,61;609,49;597,7;
RO;11;Rondônia;600,08;609,85;594,98;589,74;581,1;604,22;672,77;653,39;655,43;552,63;
RR;14;Roraima;701,25;721,41;678,29;706,26;687,44;623,52;741,04;617,11;559,23;568,93;
RS;43;Rio Grande do Sul;950,03;989,6;1012,86;1005,48;982,73;1005,65;1002,88;1055,15;1001,69;955,74;
SC;42;Santa Catarina;933,55;954,23;963,71;965,04;928;987,13;983,81;1009,31;936,85;915,13;
SE;28;Sergipe;554,6;572,98;584,45;552,86;569,37;526,5;547,83;562,48;578,64;498,47;
SP;35;São Paulo;1049,91;1078,41;1103,02;1049,53;1086,01;1042,15;1112,12;1107,27;1048,72;989,75;
TO;17;Tocantins;533,05;554,98;596,93;585,01;552,02;581,73;623,64;607,53;597,85;575,77;
