panel_id,rho,sigma
1,.69170743,.028272428
2,.64969057,.037075564
3,.91871452,.043542843
4,.9421007,.048828349
5,.79491878,.027161859
6,.72732532,.040092234
7,.85814005,.043023501
8,.88261569,.030837322
9,.87431186,.029989334
10,.94621211,.035185255
11,.49093872,.025197597
12,.63557994,.026058933
13,.8348977,.042090777
14,.42666453,.050784107
15,.51734591,.027699662
16,.869367,.04852109
17,.8888064,.059558894
18,.78261179,.043489426
19,.99124587,.065305524
20,.71418482,.085534595
21,.76503348,.069328867
22,.75056648,.056063801
23,.22441961,.027906774
24,.74716151,.038154967
25,.87497932,.079445727
26,.70854372,.068600796
27,.90451354,.045714077
